51,0,0.396824,-0.20505,1.82257,-nan,-nan,-nan
140,0,0.39377,-0.200044,1.81061,0.510454,0.448995,1.84885
141,0,0.394542,-0.197291,1.81257,0.510454,0.448995,1.84885
142,0,0.394311,-0.196728,1.8177,0.510454,0.448995,1.84885
143,0,0.393675,-0.192281,1.82206,0.510454,0.448995,1.84885
144,0,0.392786,-0.19602,1.82109,0.510454,0.448995,1.84885
145,0,0.393505,-0.196291,1.82093,0.510454,0.448995,1.84885
146,0,0.394031,-0.196946,1.82172,0.510454,0.448995,1.84885
147,0,0.3933,-0.194462,1.82822,0.510454,0.448995,1.84885
148,0,0.395818,-0.194804,1.82686,0.510454,0.448995,1.84885
149,0,0.395176,-0.194636,1.82926,0.510454,0.448995,1.84885
150,0,0.39567,-0.194858,1.82698,0.510454,0.448995,1.84885
151,0,0.395034,-0.194499,1.82949,0.510454,0.448995,1.84885
152,0,0.395047,-0.196156,1.82906,0.510454,0.448995,1.84885
153,0,0.39575,-0.194949,1.83099,0.510454,0.448995,1.84885
154,0,0.395422,-0.191577,1.83688,0.510454,0.448995,1.84885
155,0,0.396382,-0.19169,1.83855,0.510454,0.448995,1.84885
156,0,0.394274,-0.193212,1.83752,0.510454,0.448995,1.84885
157,0,0.395064,-0.189789,1.84678,0.510454,0.448995,1.84885
158,0,0.396029,-0.190035,1.84843,0.510454,0.448995,1.84885
159,0,0.39493,-0.189999,1.84757,0.510454,0.448995,1.84885
160,0,0.397219,-0.19182,1.84631,0.510454,0.448995,1.84885
161,0,0.397473,-0.189053,1.84977,0.510454,0.448995,1.84885
162,0,0.397412,-0.188884,1.84842,0.510454,0.448995,1.84885
163,0,0.397146,-0.189866,1.84959,0.510454,0.448995,1.84885
164,0,0.397497,-0.188612,1.85168,0.510454,0.448995,1.84885
165,0,0.39512,-0.187641,1.853,0.510454,0.448995,1.84885
166,0,0.395549,-0.188823,1.85117,0.510454,0.448995,1.84885
167,0,0.396684,-0.189709,1.85309,0.510454,0.448995,1.84885
168,0,0.397033,-0.188316,1.87021,0.510454,0.448995,1.84885
