51,0,0.508664,-0.189053,1.86824,-nan,-nan,-nan
119,0,0.489175,-0.184448,1.84872,-0.00312482,0.411238,1.8054
120,0,0.491701,-0.186105,1.84568,-0.00312482,0.411238,1.8054
121,0,0.490265,-0.183963,1.8458,-0.00312482,0.411238,1.8054
122,0,0.493122,-0.183203,1.84847,-0.00312482,0.411238,1.8054
123,0,0.492019,-0.183914,1.84373,-0.00312482,0.411238,1.8054
124,0,0.490292,-0.183565,1.85031,-0.00312482,0.411238,1.8054
125,0,0.491835,-0.181808,1.84721,-0.00312482,0.411238,1.8054
126,0,0.490724,-0.182299,1.84275,-0.00312482,0.411238,1.8054
127,0,0.492608,-0.18546,1.84801,-0.00312482,0.411238,1.8054
128,0,0.494471,-0.183964,1.84531,-0.00312482,0.411238,1.8054
129,0,0.499538,-0.182703,1.83885,-0.00312482,0.411238,1.8054
130,0,0.496376,-0.18394,1.83781,-0.00312482,0.411238,1.8054
131,0,0.497274,-0.183274,1.83742,-0.00312482,0.411238,1.8054
132,0,0.494958,-0.184536,1.84468,-0.00312482,0.411238,1.8054
133,1,0.487075,-0.181977,1.84484,-0.00312482,0.411238,1.8054
134,1,0.488021,-0.182627,1.84316,-0.00312482,0.411238,1.8054
135,1,0.488908,-0.182884,1.83949,-0.00312482,0.411238,1.8054
136,1,0.48942,-0.183451,1.8415,-0.00312482,0.411238,1.8054
137,1,0.491242,-0.185526,1.83959,-0.00312482,0.411238,1.8054
138,1,0.494142,-0.184636,1.84302,-0.00312482,0.411238,1.8054
139,1,0.496043,-0.186905,1.84261,-0.00312482,0.411238,1.8054
140,1,0.497324,-0.186865,1.83971,-0.00312482,0.411238,1.8054
141,1,0.49746,-0.187435,1.84141,-0.00312482,0.411238,1.8054
142,1,0.498537,-0.187113,1.84318,-0.00312482,0.411238,1.8054
143,1,0.499704,-0.187404,1.84121,-0.00312482,0.411238,1.8054
144,1,0.49983,-0.186694,1.84181,-0.00312482,0.411238,1.8054
145,1,0.499047,-0.186496,1.84303,-0.00312482,0.411238,1.8054
146,1,0.498912,-0.187523,1.84372,-0.00312482,0.411238,1.8054
147,1,0.500794,-0.18646,1.84449,-0.00312482,0.411238,1.8054
148,1,0.499828,-0.186624,1.84132,-0.00312482,0.411238,1.8054
149,1,0.500148,-0.186222,1.84361,-0.00312482,0.411238,1.8054
150,1,0.49927,-0.186918,1.84527,-0.00312482,0.411238,1.8054
151,1,0.497612,-0.187397,1.84382,-0.00312482,0.411238,1.8054
152,1,0.498859,-0.186542,1.8459,-0.00312482,0.411238,1.8054
153,1,0.49835,-0.187572,1.8449,-0.00312482,0.411238,1.8054
154,1,0.500673,-0.186508,1.84369,-0.00312482,0.411238,1.8054
155,1,0.496969,-0.187334,1.84396,-0.00312482,0.411238,1.8054
156,1,0.49779,-0.186987,1.84405,-0.00312482,0.411238,1.8054
157,1,0.498057,-0.187363,1.84568,-0.00312482,0.411238,1.8054
158,1,0.497178,-0.187485,1.84364,-0.00312482,0.411238,1.8054
159,1,0.498014,-0.186589,1.84585,-0.00312482,0.411238,1.8054
160,1,0.496176,-0.187209,1.84103,-0.00312482,0.411238,1.8054
161,1,0.498061,-0.187675,1.84541,-0.00312482,0.411238,1.8054
162,1,0.497374,-0.187832,1.84468,-0.00312482,0.411238,1.8054
163,1,0.498334,-0.187574,1.84802,-0.00312482,0.411238,1.8054
164,1,0.49801,-0.186539,1.84358,-0.00312482,0.411238,1.8054
165,1,0.497855,-0.186886,1.84433,-0.00312482,0.411238,1.8054
166,1,0.498243,-0.185802,1.84078,-0.00312482,0.411238,1.8054
167,1,0.498454,-0.185111,1.84451,-0.00312482,0.411238,1.8054
168,1,0.496503,-0.179305,1.83942,-0.00312482,0.411238,1.8054
169,1,0.492838,-0.168214,1.82525,-0.00312482,0.411238,1.8054
170,1,0.483931,-0.159185,1.81748,-0.00312482,0.411238,1.8054
171,1,0.477318,-0.148467,1.80566,-0.00312482,0.411238,1.8054
172,1,0.462685,-0.141063,1.78657,-0.00312482,0.411238,1.8054
173,1,0.448125,-0.133135,1.77019,-0.00312482,0.411238,1.8054
174,1,0.429434,-0.125423,1.74997,-0.00312482,0.411238,1.8054
175,1,0.409099,-0.11944,1.73144,-0.00312482,0.411238,1.8054
176,1,0.384525,-0.114486,1.70747,-0.00312482,0.411238,1.8054
177,1,0.359173,-0.11204,1.68516,-0.00312482,0.411238,1.8054
178,1,0.330743,-0.109527,1.66268,-0.00312482,0.411238,1.8054
179,1,0.299415,-0.107151,1.63669,-0.00312482,0.411238,1.8054
180,1,0.267229,-0.106338,1.6138,-0.00312482,0.411238,1.8054
